time_s,disp_m,accel_rel_ms2,force_N
1.53000000,0.00136087,0.13648185,6.80435750
1.54000000,0.00111311,0.41707464,5.56555019
1.55000000,0.00092046,1.10604101,4.60229949
1.56000000,0.00077921,0.95545975,3.89606160
1.57000000,0.00074074,0.87416460,3.70369777
1.58000000,0.00079988,0.95625358,3.99942417
1.59000000,0.00092963,0.57891819,4.64816014
1.60000000,0.00112960,0.25951637,5.64800552
1.61000000,0.00137783,0.22660227,6.88915625
1.62000000,0.00160630,-0.67117649,8.03150621
1.63000000,0.00183443,-0.68235460,9.17214043
1.64000000,0.00198123,-0.96085189,9.90616482
1.65000000,0.00204694,-1.07877422,10.23471917
1.66000000,0.00201776,-0.99602232,10.08879526
1.67000000,0.00189639,-0.72362200,9.48192831
1.68000000,0.00170202,-0.32758984,8.51010828
1.69000000,0.00142400,-0.75146901,7.12001147
1.70000000,0.00113256,-0.15289092,5.66277938
1.71000000,0.00078995,0.02748465,3.94972893
1.72000000,0.00045262,0.34885670,2.26312298
1.73000000,0.00015140,0.85504633,0.75697827
1.74000000,-0.00010483,0.80437363,-0.52413256
1.75000000,-0.00026784,0.98376225,-1.33920715
1.76000000,-0.00034729,0.95658023,-1.73646686
1.77000000,-0.00033793,0.77893358,-1.68965485
1.78000000,-0.00026188,0.28830061,-1.30941681
1.79000000,-0.00012021,0.28825093,-0.60105351
1.80000000,0.00002650,-0.18747595,0.13252215
1.81000000,0.00018076,-0.37535610,0.90378739
1.82000000,0.00029042,-0.79817759,1.45212425
1.83000000,0.00034976,-0.84269544,1.74880092
1.84000000,0.00033410,-0.72398816,1.67050088
1.85000000,0.00021857,-1.09527730,1.09286924
1.86000000,0.00003712,-0.78029449,0.18557808
1.87000000,-0.00024348,-0.72996419,-1.21739630
1.88000000,-0.00057949,-0.30281442,-2.89743919
1.89000000,-0.00096451,-0.03673612,-4.82255089
1.90000000,-0.00135850,0.25654991,-6.79248849
1.91000000,-0.00173389,0.55529954,-8.66944600
1.92000000,-0.00206792,0.72012975,-10.33957729
1.93000000,-0.00232878,0.99032843,-11.64390537
1.94000000,-0.00251015,1.00483901,-12.55076609
1.95000000,-0.00259045,1.03844266,-12.95224787
1.96000000,-0.00258042,0.81852995,-12.90208785
1.97000000,-0.00247623,0.73471330,-12.38114976
1.98000000,-0.00231419,0.29665909,-11.57093733
1.99000000,-0.00209117,0.26579095,-10.45584205
2.00000000,-0.00185355,-0.02010440,-9.26774959
2.01000000,-0.00162294,-0.54886519,-8.11468877
2.02000000,-0.00142763,-0.95034486,-7.13814517
2.03000000,-0.00128717,-0.74893592,-6.43586688
2.04000000,-0.00123639,-0.74246829,-6.18196800
2.05000000,-0.00126996,-0.93467365,-6.34977997
2.06000000,-0.00137514,-0.78599431,-6.87568192
2.07000000,-0.00155527,-0.48999762,-7.77633661
2.08000000,-0.00178969,-0.15188917,-8.94846174
2.09000000,-0.00206326,-0.12387232,-10.31631793
2.10000000,-0.00233982,0.10615767,-11.69910909
2.11000000,-0.00261168,0.33296486,-13.05838087
2.12000000,-0.00285205,0.63683853,-14.26025449
2.13000000,-0.00303740,0.91950225,-15.18699555
2.14000000,-0.00315668,0.82590177,-15.78338450
2.15000000,-0.00317653,1.02220378,-15.88264689
2.16000000,-0.00311161,0.96777751,-15.55802720
2.17000000,-0.00297337,0.41679834,-14.86685370
2.18000000,-0.00275157,0.42797323,-13.75787011
2.19000000,-0.00248904,0.40362586,-12.44517734
2.20000000,-0.00220196,0.05063986,-11.00978787
2.21000000,-0.00189171,-0.11671022,-9.45854625
2.22000000,-0.00160438,-0.59268734,-8.02189773
2.23000000,-0.00135360,-0.85219009,-6.76797715
2.24000000,-0.00116308,-0.74234861,-5.81537772
2.25000000,-0.00107727,-1.18719732,-5.38635532
2.26000000,-0.00106377,-0.92604552,-5.31882536
2.27000000,-0.00114497,-0.57644686,-5.72485043
2.28000000,-0.00131315,-0.63870906,-6.56576397
2.29000000,-0.00151985,-0.22505707,-7.59927072
2.30000000,-0.00176354,0.10593644,-8.81767712
2.31000000,-0.00202899,-0.04486758,-10.14493887
2.32000000,-0.00226260,0.45553975,-11.31298107
2.33000000,-0.00247398,0.73951700,-12.36991183
2.34000000,-0.00262536,0.88655600,-13.12681581
2.35000000,-0.00270787,0.71140831,-13.53936834
2.36000000,-0.00267840,1.26555667,-13.39199924
2.37000000,-0.00259065,0.73116936,-12.95325427
2.38000000,-0.00239269,0.67149976,-11.96344677
2.39000000,-0.00214370,0.25956119,-10.71849794
2.40000000,-0.00185521,-0.08738651,-9.27602848
2.41000000,-0.00156269,-0.35256627,-7.81344183
2.42000000,-0.00129735,-0.58887271,-6.48677250
2.43000000,-0.00108076,-0.74032898,-5.40378869
2.44000000,-0.00093894,-0.98244968,-4.69470344
2.45000000,-0.00088193,-1.07676698,-4.40962709
2.46000000,-0.00091201,-0.80669419,-4.56004705
2.47000000,-0.00103225,-0.59139323,-5.16126616
2.48000000,-0.00122231,-0.48190236,-6.11154702
2.49000000,-0.00146069,-0.32031385,-7.30344101
2.50000000,-0.00172141,0.11580899,-8.60705691
2.51000000,-0.00200202,0.14061963,-10.01011171
2.52000000,-0.00225052,0.53889857,-11.25259095
2.53000000,-0.00245953,0.84826964,-12.29763275
2.54000000,-0.00259824,1.02160338,-12.99122044
2.55000000,-0.00263598,1.25798581,-13.17991098
2.56000000,-0.00257353,1.10033216,-12.86766545
2.57000000,-0.00240291,0.82658837,-12.01456966
2.58000000,-0.00215878,0.23306645,-10.79390624
2.59000000,-0.00185246,0.12045273,-9.26229231
2.60000000,-0.00152421,0.14907984,-7.62106509
2.61000000,-0.00120732,-0.33322649,-6.03660970
2.62000000,-0.00090142,-0.60996710,-4.50708783
2.63000000,-0.00065755,-1.04594660,-3.28776666
2.64000000,-0.00047483,-0.83091190,-2.37416780
2.65000000,-0.00039846,-0.97355088,-1.99232264
2.66000000,-0.00039379,-0.67434541,-1.96896194
2.67000000,-0.00048923,-0.87906706,-2.44615641
2.68000000,-0.00065331,-0.80076773,-3.26653896
2.69000000,-0.00088068,-0.34760227,-4.40337626
2.70000000,-0.00115650,0.05822405,-5.78249516
2.71000000,-0.00144098,0.37733617,-7.20490887
2.72000000,-0.00169735,0.66358713,-8.48675881
2.73000000,-0.00190102,0.81979891,-9.50510635
2.74000000,-0.00201424,1.22350760,-10.07120667
2.75000000,-0.00203697,1.19185118,-10.18485806
2.76000000,-0.00193926,1.16943537,-9.69631665
2.77000000,-0.00173972,0.83368402,-8.69858947
2.78000000,-0.00144116,0.64296045,-7.20579441
2.79000000,-0.00107506,0.42170996,-5.37531040
2.80000000,-0.00066514,0.12301033,-3.32567740
2.81000000,-0.00024460,-0.35880423,-1.22298050
2.82000000,0.00017214,-0.43992509,0.86071452
2.83000000,0.00054919,-0.47564348,2.74593772
2.84000000,0.00085992,-0.90426154,4.29957906
2.85000000,0.00109921,-1.16728151,5.49606641
2.86000000,0.00125012,-0.99510410,6.25058985
2.87000000,0.00129384,-0.89025346,6.46920736
2.88000000,0.00123888,-0.92625124,6.19437972
2.89000000,0.00113128,-0.18030719,5.65641163
2.90000000,0.00096957,0.21691592,4.84786670
2.91000000,0.00080950,0.41165733,4.04750642
2.92000000,0.00070527,0.99721158,3.52633534
2.93000000,0.00062973,0.45511386,3.14866277
2.94000000,0.00067921,1.23207345,3.39607367
2.95000000,0.00077775,0.91441007,3.88874561
2.96000000,0.00100360,1.15547908,5.01801360
2.97000000,0.00130305,0.67801942,6.51525534
2.98000000,0.00171048,0.76545178,8.55241225
2.99000000,0.00216519,0.31118942,10.82594233
3.00000000,0.00267052,0.01998222,13.35261370
3.01000000,0.00318201,-0.33369671,15.91005915
3.02000000,0.00366576,-0.75156958,18.32881762
3.03000000,0.00409759,-0.91372711,20.48795425
3.04000000,0.00443870,-1.14390074,22.19349299
3.05000000,0.00469160,-0.96539424,23.45802309
3.06000000,0.00483499,-0.95718614,24.17496816
3.07000000,0.00489685,-0.66122696,24.48423192
3.08000000,0.00487689,-0.53093234,24.38447115
3.09000000,0.00480535,-0.30539508,24.02676806
3.10000000,0.00468479,-0.33681502,23.42393596
3.11000000,0.00454854,-0.02388669,22.74271091
3.12000000,0.00440349,0.31717693,22.01746029
3.13000000,0.00427720,0.56950027,21.38598012
3.14000000,0.00421348,1.06052590,21.06738524
3.15000000,0.00420990,0.87890483,21.04951343
3.16000000,0.00432277,1.17746041,21.61384083
3.17000000,0.00452425,1.04273921,22.62125980
3.18000000,0.00481806,0.60172060,24.09031417
3.19000000,0.00519945,0.48831961,25.99726057
3.20000000,0.00562245,0.17378857,28.11225938
3.21000000,0.00608973,0.23990941,30.44863183
3.22000000,0.00654148,-0.45108646,32.70741470
3.23000000,0.00699462,-0.55778499,34.97310316
3.24000000,0.00738530,-0.85137072,36.92651464
3.25000000,0.00769896,-1.12953239,38.49479499
3.26000000,0.00792936,-0.95289090,39.64678014
3.27000000,0.00805452,-0.88674286,40.27261630
3.28000000,0.00807806,-1.04670840,40.39028412
3.29000000,0.00802233,-0.77850247,40.11163630
3.30000000,0.00788494,-0.45232531,39.42470432
3.31000000,0.00768823,-0.24488403,38.44115356
